2017-03-29 02:59:14,881  INFO [main] TestNG_FB_TestCase001:20 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:28:57,372 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:28:57,445 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:28:57,627 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:40 - 
 INFO 2017-04-06 12:31:37,760 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:31:37,977 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:31:38,134 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-06 12:31:38,368 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:31:38,369 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-06 12:31:38,443 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:31:38,524 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:31:41,084 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:51 - Browser window naviagted to :Forgotten Password | Can't Log In | Facebook
 INFO 2017-04-06 12:33:48,730 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:33:48,938 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:33:49,112 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
 INFO 2017-04-06 12:33:49,337 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:27 - Verifying TagLine in FaceBook
 INFO 2017-04-06 12:33:49,339 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:31 - Asserting Email Phone Text area
 INFO 2017-04-06 12:33:49,430 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:33 - Asserting Password Text area
 INFO 2017-04-06 12:33:49,523 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:35 - Asserting Forgotten Account Link
 INFO 2017-04-06 12:35:14,953 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:21 - Checking Method EmailPhone Text
 INFO 2017-04-06 12:35:15,088 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:23 - Checking Password Text
 INFO 2017-04-06 12:35:15,213 TestNG_FB_TestCase001.java [main] aditya_TestNG.TestNG_FB_TestCase001:25 - Checking facebook Logo
